employee_id,employee_name,department,date,login_time,logout_time,total_hours,project_name,task_name,task_status,productivity_score,idle_time_minutes,overtime_hours,break_count,meeting_hours,tasks_completed,bugs_fixed,focus_score,weekly_target,target_completed,manager_rating,burnout_risk,performance_trend
EMP001,Ryan Peters,UI/UX,2026-02-19,08:24,17:18,8.9,CRM Dashboard,Model Training,Completed,73,54,0.9,3,0.7,4,4,66,12,12,4.2,Low,Stable
EMP001,Ryan Peters,UI/UX,2026-02-20,10:16,16:52,6.6,HR System,Database Update,Pending,67,64,0.0,5,1.2,6,6,60,8,8,4.0,Low,Stable
EMP001,Ryan Peters,UI/UX,2026-02-21,08:52,15:52,7.0,CRM Dashboard,Client Support,Completed,70,35,0.0,2,1.2,9,6,70,9,6,3.7,Low,Stable
EMP001,Ryan Peters,UI/UX,2026-02-23,08:19,16:31,8.2,CRM Dashboard,Model Training,Completed,64,54,0.2,2,0.6,10,5,63,13,3,3.3,Low,Stable
EMP001,Ryan Peters,UI/UX,2026-02-24,08:17,17:05,8.8,IoT Monitoring,UI Design,In Progress,66,37,0.8,1,2.3,4,5,62,13,13,3.9,Low,Stable
EMP001,Ryan Peters,UI/UX,2026-02-25,10:44,18:44,8.0,Mobile App,Model Training,Completed,63,68,0.0,1,2.0,10,2,59,7,4,3.2,Low,Stable
EMP001,Ryan Peters,UI/UX,2026-02-26,09:04,16:16,7.2,HR System,Documentation,Pending,72,37,0.0,3,1.9,4,5,62,6,6,4.5,Low,Stable
EMP001,Ryan Peters,UI/UX,2026-02-27,08:39,15:45,7.1,AI Analytics,Client Support,Pending,74,64,0.0,4,2.8,5,7,65,11,11,3.9,Low,Stable
EMP001,Ryan Peters,UI/UX,2026-02-28,10:33,18:09,7.6,AI Analytics,Testing,In Progress,63,62,0.0,5,2.9,2,3,53,11,11,3.9,Low,Stable
EMP001,Ryan Peters,UI/UX,2026-03-02,08:56,17:26,8.5,Mobile App,Testing,In Progress,56,44,0.5,4,1.4,9,1,52,5,4,3.2,Low,Declining
EMP001,Ryan Peters,UI/UX,2026-03-03,09:16,15:46,6.5,HR System,Client Support,Pending,65,44,0.0,5,2.4,3,5,57,10,7,3.8,Low,Stable
EMP001,Ryan Peters,UI/UX,2026-03-04,10:21,17:57,7.6,HR System,Database Update,Pending,69,50,0.0,5,2.6,8,8,67,9,9,3.9,Low,Stable
EMP001,Ryan Peters,UI/UX,2026-03-05,09:07,16:01,6.9,Mobile App,Model Training,Pending,67,63,0.0,3,0.7,5,7,59,7,7,3.7,Low,Stable
EMP001,Ryan Peters,UI/UX,2026-03-06,09:52,18:22,8.5,IoT Monitoring,Model Training,Pending,72,38,0.5,2,1.3,6,4,66,15,6,4.5,Low,Stable
EMP001,Ryan Peters,UI/UX,2026-03-07,10:37,17:49,7.2,IoT Monitoring,API Integration,Completed,68,70,0.0,1,2.9,7,5,64,7,7,4.0,Low,Stable
EMP001,Ryan Peters,UI/UX,2026-03-08,10:48,17:24,6.6,AI Analytics,Testing,Completed,60,43,0.0,3,1.7,10,4,57,9,9,3.7,Low,Stable
EMP001,Ryan Peters,UI/UX,2026-03-09,10:59,17:35,6.6,CRM Dashboard,Bug Fixing,Pending,62,43,0.0,2,2.7,4,7,58,11,11,3.3,Low,Stable
EMP001,Ryan Peters,UI/UX,2026-03-10,10:30,17:48,7.3,AI Analytics,Testing,Completed,65,61,0.0,5,0.9,1,4,60,8,8,4.0,Low,Stable
EMP001,Ryan Peters,UI/UX,2026-03-11,08:09,16:57,8.8,AI Analytics,Model Training,Pending,65,61,0.8,1,2.7,10,1,65,11,6,3.6,Low,Stable
